Date,Open,High,Low,Close,Adj Close,Volume
2001-07-01,13200.000000,14100.000000,12500.000000,12550.000000,7024.926758,37950000
2001-08-01,12550.000000,12700.000000,11600.000000,12200.000000,6829.011230,37547000
2001-09-01,12200.000000,12500.000000,9950.000000,10000.000000,5597.550781,34606000
2001-10-01,10050.000000,10100.000000,8800.000000,9000.000000,5037.794922,38797000
2001-11-01,9100.000000,9150.000000,7950.000000,8300.000000,4645.966797,46722500
2001-12-01,8300.000000,8650.000000,7950.000000,8650.000000,4841.881348,24435500
2002-01-01,8650.000000,12300.000000,8250.000000,11300.000000,6325.233398,125690500
2002-02-01,11500.000000,11900.000000,10450.000000,10950.000000,6129.315918,63646500
2002-03-01,10900.000000,11650.000000,10750.000000,10900.000000,6101.331543,54266000
2002-04-01,11000.000000,12300.000000,10650.000000,11450.000000,6409.195801,84515500
2002-05-01,11450.000000,11850.000000,10050.000000,10850.000000,6073.342773,32466500
2002-06-01,10750.000000,11700.000000,10350.000000,10550.000000,5905.415527,29119500
2002-07-01,10650.000000,10650.000000,8900.000000,9250.000000,5177.733887,52394500
2002-08-01,9350.000000,9550.000000,8200.000000,8450.000000,4876.216797,33645000
2002-09-01,8450.000000,8950.000000,7950.000000,8950.000000,5164.750000,27977000
2002-10-01,8450.000000,8650.000000,6500.000000,7150.000000,4126.030273,36301500
2002-11-01,7200.000000,7800.000000,7050.000000,7650.000000,4414.562988,32708000
2002-12-01,7650.000000,8300.000000,7350.000000,8300.000000,4789.656250,28960000
2003-01-01,8300.000000,8300.000000,7250.000000,7400.000000,4270.296387,28342000
2003-02-01,7350.000000,7750.000000,7250.000000,7550.000000,4356.855957,10686500
2003-03-01,7550.000000,7600.000000,7350.000000,7400.000000,4270.296387,12240500
2003-04-01,7400.000000,8850.000000,7350.000000,8650.000000,4991.630371,41109000
2003-05-01,8650.000000,10100.000000,8350.000000,10000.000000,5770.671387,35933500
2003-06-01,10100.000000,10950.000000,10000.000000,10200.000000,5886.084961,28454000
2003-07-01,10200.000000,10700.000000,9450.000000,9500.000000,5646.600586,21714500
2003-08-01,9500.000000,9650.000000,8550.000000,9200.000000,5468.287598,30527500
2003-09-01,9250.000000,11700.000000,9150.000000,11250.000000,6686.764160,53544500
2003-10-01,11250.000000,13350.000000,11250.000000,13150.000000,7816.083984,39470000
2003-11-01,13050.000000,13050.000000,12350.000000,12700.000000,7548.614258,11476500
2003-12-01,12700.000000,14150.000000,12700.000000,13600.000000,8083.555176,23988000
2004-01-01,13600.000000,16000.000000,13600.000000,14800.000000,8796.809570,29919500
2004-02-01,14800.000000,15200.000000,13650.000000,14100.000000,8380.744141,23087000
2004-03-01,14000.000000,14750.000000,12400.000000,12900.000000,7667.490723,25982000
2004-04-01,12850.000000,15150.000000,12700.000000,14600.000000,8677.933594,30084000
2004-05-01,14600.000000,14600.000000,12800.000000,14200.000000,8440.182617,23844000
2004-06-01,14200.000000,14200.000000,13150.000000,13700.000000,8142.992676,13611500
2004-07-01,13800.000000,14950.000000,13750.000000,14250.000000,8469.901367,16761500
2004-08-01,14200.000000,14200.000000,12100.000000,12750.000000,7739.573242,17493500
