publishedAt,user,comment,likeCount,comment (clean)
2023-05-30T09:00:55Z,David Siregar,"Buat Yth. Bapak Ganjar Pranowo,, apanila ditanya oleh Mbak Najwa Shihab,, apakah Presiden Petugas Partai atau Tidak?? Cukup jawab saja kepada beliau,, mbake saya ini memang Petugas Partai yg dipilih oleh Partai dan diusung oleh Ketua Umum berdasarkan Rakornas,, tapi ketika saya menang Pemilu Presiden,, saya akan kesampingkan posisi saya sbg Petugas Partai dan saya akan berusaha menjalankan Tugas dan Amanat saya secara Konstitusi dan Amanah bagi Rakyat,, tapi saya Bukan dibawah ketiak Ibu Megawati Soekarnoputri beliau seorang Ketum PDI Perjuangan yg terhormat,, akan tetapi bekerja bersama Rakyat untuk melanjutkan kinerja dari Bapak Presiden Jokowi mengemban Tugas Kerakyatan secara Amanah,, nah klo Ibu Megawati Soekarnoputri ngatur Pakde Ganjar Pranowo di Pemerintahan,, bilang sama Ibu Megawati Soekarnoputri,, sebaiknya Ibu saja yg menjadi Presiden,, sebab saya sbg Kepala Negara memiliki Hak Prerogatif untuk melaksanakan Amanat Konstitusi demi terwujudnya Pembangunan bagi Seluruh Rakyat Indonesia,, itu artinya Saya Presiden bagi seluruh Rakyat Indonesia tapi Bukan Presiden Partai yg disetir oleh Ketua Umum PDI Perjuangan Ibu Megawati Soekarnoputri,, klo Bu Megawati marah,, tinggal ngomong saja kepada beliau Pakde,, Bu yo sebaiknya Jenengan yg jadi Presiden jangan saya disetir-setir,, krn saya merupakan Amanat bagi seluruh Rakyat Indonesia,, malu toh Bu,, Jenengan sdh tua,, biarkan saya Pimpin Bangsa ini untuk 5 Tahun kedepannya,, mohon doa restu yo Bunda Megawati Soekarnoputri. Yo bilang spt itu saja Pakde Ganjar,, ngga usah takut,, Ketua Umum Partai dan Parpol Pendukung yg lainnya hanyalah Transportasi Politik demi memenangkan Pakde Ganjar Pranowo,, sing penting Kerjo keras Pakde,, Jujur dan Amanah,, Sederhana dan Bijaksana dlm bertindak mengeluarkan kebijakan yg positif,, saya yakin Pakde Ganjar Pranowo pasti bisa berhasil baik dlm bekerja mengemban Amanat Rakyat. Mantap 👍",1,buat yth bapak ganjar pranowo apanila ditanya oleh mbak najwa shihab apakah presiden petugas partai atau tidak cukup jawab saja kepada beliau mbake saya ini memang petugas partai yang dipilih oleh partai dan diusung oleh ketua umum berdasarkan rakornas tapi ketika saya menang pemilu presiden saya akan kesampingkan posisi saya sebagai petugas partai dan saya akan berusaha menjalankan tugas dan amanat saya secara konstitusi dan amanah bagi rakyat tapi saya bukan dibawah ketiak ibu megawati soekarnoputri beliau seorang ketum pdi perjuangan yang terhormat akan tetapi bekerja bersama rakyat untuk melanjutkan kinerja dari bapak presiden jokowi mengemban tugas kerakyatan secara amanah nah kalo ibu megawati soekarnoputri mengatur pakde ganjar pranowo di pemerintahan bilang sama ibu megawati soekarnoputri sebaiknya ibu saja yang menjadi presiden sebab saya sebagai kepala negara memiliki hak prerogatif untuk melaksanakan amanat konstitusi demi terwujudnya pembangunan bagi seluruh rakyat indonesia itu artinya saya presiden bagi seluruh rakyat indonesia tapi bukan presiden partai yang disetir oleh ketua umum pdi perjuangan ibu megawati soekarnoputri kalo bu megawati marah tinggal mengomong saja kepada beliau pakde bu ya sebaiknya jenengan yang jadi presiden jangan saya disetir setir karena saya merupakan amanat bagi seluruh rakyat indonesia malu toh bu jenengan sudah tua biarkan saya pimpin bangsa ini untuk tahun kedepannya mohon doa restu ya bunda megawati soekarnoputri ya bilang seperti itu saja pakde ganjar enggak usah takut ketua umum partai dan parpol pendukung yang lainnya hanyalah transportasi politik demi memenangkan pakde ganjar pranowo sing penting kerjo keras pakde jujur dan amanah sederhana dan bijaksana dalam bertindak mengeluarkan kebijakan yang positif saya yakin pakde ganjar pranowo pasti bisa berhasil baik dalam bekerja mengemban amanat rakyat mantap 
2023-05-30T07:33:01Z,Afifah Lafiani,Ampun dah saiah. Si pak ganjar kata katanya hati hati banget lagi. Ampe kegoda saiah 😄,0,ampun deh saiah sih pak ganjar kata katanya hati hati banget lagi sampai kegoda saiah 
2023-05-29T21:12:55Z,El Zacky,Fixs Ri 1,0,fixs ri 
2023-05-29T15:33:36Z,Suhadi Suhadi,Ganjar paling cerdas sehat dan Rekam jejak Biografinya paling baik ❤,0,ganjar paling cerdas sehat dan rekam jejak biografinya paling baik 
2023-05-29T11:31:35Z,Kamal Yusuf,Cepat dan sigap mengatasi suatu persoalan dan permasalahan yang dihadapi,0,cepat dan sigap mengatasi suatu persoalan dan permasalahan yang dihadapi
2023-05-28T15:14:37Z,Yorianta Hidayat Sasaerila,Luar biasa kemampuan komunikasi dan tata krama beliau dalam menyampaikan pendapatnya. Semoga lancar menuju RI-1❤. Ganjar - Mahfud satu putaran langsung menang👍,2,luar biasa kemampuan komunikasi dan tata krama beliau dalam menyampaikan pendapatnya semoga lancar menuju ri ganjar mahfud satu putaran langsung menang
2023-05-28T12:10:52Z,Paruhum Harahap,Politik itu kejam siap konsolidasi alasan macam macam TDK jd dapat rekomendasi tak obah nya di Giring ke tepi jurang,0,politik itu kejam siap konsolidasi alasan macam macam tidak jadi dapat rekomendasi tak obah nya di giring ke tepi jurang
2023-05-28T08:53:31Z,ida Nita,Sang penanya dan yg ditanya sama cerdasnya. Pak Ganjar semoga istiqomah demi bangsa dan negara. Aamiin 🤲🏼,1,sang penanya dan yang ditanya sama cerdasnya pak ganjar semoga istikamah demi bangsa dan negara amin 
2023-05-28T04:03:50Z,Fazri isnandar,"Memang keren pak Ganjar pranowo, Tegas berani santun dan jujur... Ganjar untuk RI .",2,memang keren pak ganjar pranowo tegas berani santun dan jujur ganjar untuk ri
2023-05-27T15:05:22Z,Nana Hasanah,Saya gk  suka pemimpin yg  suka nonton film porno.,0,saya enggak suka pemimpin yang suka menonton film porno
2023-05-27T07:21:16Z,Kamal Yusuf,Terampil dalam bertindak dan berbuat,0,terampil dalam bertindak dan berbuat
