Date,Open,High,Low,Close,Adj Close,Volume
2001-06-07,12150.000000,12250.000000,12100.000000,12100.000000,6773.036133,744000
2001-06-08,12150.000000,12150.000000,12050.000000,12050.000000,6745.048828,482000
2001-06-11,12100.000000,12250.000000,12100.000000,12200.000000,6829.011719,1006000
2001-06-12,12250.000000,13000.000000,12200.000000,12950.000000,7248.828613,7133500
2001-06-13,13100.000000,13150.000000,12650.000000,12650.000000,7080.900879,4351000
2001-06-14,12650.000000,12900.000000,12550.000000,12750.000000,7136.876953,1989000
2001-06-15,12750.000000,12800.000000,12450.000000,12500.000000,6996.939453,2547500
2001-06-18,12500.000000,12700.000000,12350.000000,12700.000000,7108.888184,1525500
2001-06-19,12700.000000,12950.000000,12650.000000,12800.000000,7164.864746,2983500
2001-06-20,12800.000000,12950.000000,12700.000000,12850.000000,7192.852051,2287500
2001-06-21,12900.000000,12950.000000,12700.000000,12950.000000,7248.828613,3742000
2001-06-22,13000.000000,13650.000000,13000.000000,13650.000000,7640.655762,10027500
2001-06-25,13650.000000,13800.000000,13450.000000,13450.000000,7528.705078,3452500
2001-06-26,13450.000000,13700.000000,13450.000000,13500.000000,7556.693848,2073500
2001-06-27,13500.000000,13600.000000,13300.000000,13450.000000,7528.705078,1659000
2001-06-28,13400.000000,13400.000000,12750.000000,12900.000000,7220.839355,3771000
2001-06-29,12950.000000,13200.000000,12750.000000,13200.000000,7388.767090,3796500
2001-07-02,13200.000000,13200.000000,12900.000000,13000.000000,7276.815918,500000
2001-07-03,12950.000000,13050.000000,12750.000000,12800.000000,7164.864746,1179500
2001-07-04,12850.000000,12850.000000,12750.000000,12850.000000,7192.852051,506000
2001-07-05,12850.000000,13100.000000,12850.000000,13000.000000,7276.815918,1326000
2001-07-06,12950.000000,13000.000000,12950.000000,13000.000000,7276.815918,116500
2001-07-09,12950.000000,13150.000000,12950.000000,13050.000000,7304.803711,1175000
2001-07-10,13050.000000,13150.000000,12950.000000,13000.000000,7276.815918,611000
2001-07-11,13000.000000,13200.000000,13000.000000,13150.000000,7360.777832,857000
2001-07-12,13150.000000,13150.000000,12900.000000,12950.000000,7248.828613,1454500
2001-07-13,13000.000000,13150.000000,13000.000000,13050.000000,7304.803711,1127000
2001-07-16,13100.000000,13250.000000,12950.000000,13000.000000,7276.815918,972000
2001-07-17,13000.000000,13100.000000,12900.000000,13050.000000,7304.803711,634500
2001-07-18,13100.000000,13150.000000,13050.000000,13150.000000,7360.777832,1653500
2001-07-19,13200.000000,13500.000000,13200.000000,13350.000000,7472.729492,3536000
2001-07-20,13500.000000,13550.000000,13200.000000,13400.000000,7500.719238,2986000
2001-07-23,13750.000000,14100.000000,13550.000000,13650.000000,7640.655762,7208000
2001-07-24,13750.000000,13800.000000,13150.000000,13200.000000,7388.767090,4650000
2001-07-25,13200.000000,13200.000000,12750.000000,12900.000000,7220.839355,2972000
2001-07-26,12900.000000,13200.000000,12800.000000,12850.000000,7192.852051,1386000
2001-07-27,12850.000000,12950.000000,12800.000000,12900.000000,7220.839355,397500
2001-07-30,12900.000000,13100.000000,12900.000000,12950.000000,7248.828613,827000
2001-07-31,12950.000000,13000.000000,12500.000000,12550.000000,7024.927246,1875000
2001-08-01,12550.000000,12650.000000,12500.000000,12550.000000,7024.927246,934500
2001-08-02,12550.000000,12650.000000,12350.000000,12400.000000,6940.963379,779500
2001-08-03,12400.000000,12400.000000,12250.000000,12350.000000,6912.975098,529000
2001-08-06,12300.000000,12350.000000,12200.000000,12250.000000,6856.998047,336500
2001-08-07,12300.000000,12450.000000,12050.000000,12200.000000,6829.011719,2302000
2001-08-08,12250.000000,12500.000000,12250.000000,12400.000000,6940.963379,1344000
2001-08-09,12600.000000,12600.000000,12000.000000,12050.000000,6745.048828,3566000
2001-08-10,12100.000000,12400.000000,12100.000000,12250.000000,6856.998047,1090000
2001-08-13,12250.000000,12400.000000,12250.000000,12300.000000,6884.986816,918000
2001-08-14,12350.000000,12400.000000,12150.000000,12200.000000,6829.011719,1068000
2001-08-15,12200.000000,12200.000000,11850.000000,11850.000000,6633.097656,2168000
